customer_id,full_name,email,phone,address,city,state,postal_code,gender,registration_date,loyalty_tier,ingestion_timestamp,pipeline_run_id,age,age_group
CUST0001,G****** T*****,et********@example.net,XXXXXX5500,REDACTED,Kolkata,West Bengal,283XXX,Male,2024-10-20,Bronze,2026-07-02 16:18:55,6c59e737,51,51+
CUST0002,R*** M***,aa******@example.org,XXXXXX0410,REDACTED,Bengaluru,Karnataka,314XXX,Other,2026-06-12,Silver,2026-07-02 16:18:55,6c59e737,50,36-50
CUST0003,U***** S***,sa******@example.net,XXXXXX8496,REDACTED,Mumbai,Maharashtra,221XXX,Female,2025-03-27,Bronze,2026-07-02 16:18:55,6c59e737,21,18-25
CUST0004,Y****** M***,ry****@example.com,XXXXXX8995,REDACTED,Bengaluru,Karnataka,201XXX,Male,2026-01-12,Platinum,2026-07-02 16:18:55,6c59e737,53,51+
CUST0005,Z**** C********,wa*****@example.net,XXXXXX6253,REDACTED,Delhi,Delhi,391XXX,Male,2021-07-24,Bronze,2026-07-02 16:18:55,6c59e737,43,36-50
CUST0006,J**** M*****,ya****@example.com,XXXXXX1970,REDACTED,Jaipur,Rajasthan,335XXX,Female,2023-04-01,Gold,2026-07-02 16:18:55,6c59e737,69,51+
CUST0007,H****** V********,sc*****@example.org,XXXXXX9663,REDACTED,Jaipur,Rajasthan,676XXX,Other,2022-11-01,Gold,2026-07-02 16:18:55,6c59e737,76,51+
CUST0008,B****** K***,ch*************@example.org,XXXXXX3270,REDACTED,Chennai,Tamil Nadu,561XXX,Male,2026-05-29,Bronze,2026-07-02 16:18:55,6c59e737,22,18-25
CUST0009,U*** S***,sa******@example.com,XXXXXX0393,REDACTED,Pune,Maharashtra,366XXX,Female,2023-04-22,Bronze,2026-07-02 16:18:55,6c59e737,39,36-50
CUST0010,I***** C**********,cn*******@example.com,XXXXXX3595,REDACTED,Kolkata,West Bengal,230XXX,Other,2025-04-25,Platinum,2026-07-02 16:18:55,6c59e737,75,51+
CUST0011,E***** D****,bb***@example.org,XXXXXX5357,REDACTED,Jaipur,Rajasthan,980XXX,Other,2025-12-11,Bronze,2026-07-02 16:18:55,6c59e737,26,26-35
CUST0012,W******** R**,sh**********@example.com,XXXXXX1563,REDACTED,Hyderabad,Telangana,434XXX,Female,2025-06-17,Bronze,2026-07-02 16:18:55,6c59e737,66,51+
CUST0013,L*** G******,ym***@example.org,XXXXXX5251,REDACTED,Delhi,Delhi,290XXX,Female,2021-10-08,Platinum,2026-07-02 16:18:55,6c59e737,44,36-50
CUST0014,T**** N***,ta******@example.org,XXXXXX0489,REDACTED,Chennai,Tamil Nadu,340XXX,Male,2024-06-07,Bronze,2026-07-02 16:18:55,6c59e737,68,51+
CUST0015,N**** K***,ma********@example.org,XXXXXX9466,REDACTED,Jaipur,Rajasthan,170XXX,Female,2022-09-16,Silver,2026-07-02 16:18:55,6c59e737,33,26-35
CUST0016,A****** B*****,ch**********@example.net,XXXXXX0413,REDACTED,Jaipur,Rajasthan,878XXX,Male,2021-09-15,Platinum,2026-07-02 16:18:55,6c59e737,72,51+
CUST0017,U****** T*****,hb**@example.org,XXXXXX0436,REDACTED,Bengaluru,Karnataka,627XXX,Female,2022-11-30,Bronze,2026-07-02 16:18:55,6c59e737,58,51+
CUST0018,M****** J******,da********@example.org,XXXXXX7998,REDACTED,Hyderabad,Telangana,581XXX,Other,2022-03-23,Bronze,2026-07-02 16:18:55,6c59e737,67,51+
CUST0019,O**** W****,om********@example.net,XXXXXX5470,REDACTED,Kolkata,West Bengal,501XXX,Male,2023-02-10,Silver,2026-07-02 16:18:55,6c59e737,56,51+
CUST0020,C******** M*****,os***@example.org,XXXXXX6598,REDACTED,Pune,Maharashtra,258XXX,Male,2025-10-22,Silver,2026-07-02 16:18:55,6c59e737,30,26-35
CUST0021,S***** G***,ba********************@example.net,XXXXXX3978,REDACTED,Delhi,Delhi,589XXX,Male,2023-02-21,Bronze,2026-07-02 16:18:55,6c59e737,37,36-50
CUST0022,C****** K*****,bu********@example.org,XXXXXX2221,REDACTED,Chennai,Tamil Nadu,536XXX,Other,2025-02-06,Silver,2026-07-02 16:18:55,6c59e737,38,36-50
CUST0023,D**** H****,sa***********@example.net,XXXXXX1034,REDACTED,Jaipur,Rajasthan,182XXX,Female,2023-11-30,Silver,2026-07-02 16:18:55,6c59e737,33,26-35
CUST0024,E**** M***,ya*****@example.com,XXXXXX2135,REDACTED,Pune,Maharashtra,655XXX,Male,2022-02-15,Platinum,2026-07-02 16:18:55,6c59e737,44,36-50
CUST0025,K***** P******,lb***@example.net,XXXXXX6027,REDACTED,Hyderabad,Telangana,136XXX,Male,2024-04-01,Bronze,2026-07-02 16:18:55,6c59e737,49,36-50
CUST0026,A***** D*****,zg*****@example.org,XXXXXX6802,REDACTED,Delhi,Delhi,549XXX,Other,2024-07-27,Bronze,2026-07-02 16:18:55,6c59e737,30,26-35
CUST0027,R****** G*****,ba*******************@example.org,XXXXXX5108,REDACTED,Bengaluru,Karnataka,889XXX,Other,2024-06-11,Gold,2026-07-02 16:18:55,6c59e737,75,51+
CUST0028,M****** B****,he**********@example.com,XXXXXX4675,REDACTED,Ahmedabad,Gujarat,728XXX,Male,2024-05-26,Gold,2026-07-02 16:18:55,6c59e737,42,36-50
